Model	dataset	precision@10	hit@10	mrr@10	ndcg@10	map@10	itemcoverage@10	averagepopularity@10	tailpercentage@10	best_user_precision@[10]	best_user_hit@[10]	best_user_mrr@[10]	best_user_ndcg@[10]	best_user_map@[10]	worst_user_precision@[10]	worst_user_hit@[10]	worst_user_mrr@[10]	worst_user_ndcg@[10]	worst_user_map@[10]
XSimGCL	real-life-atomic-100000-1	0.0291	0.154	0.0733	0.0585	0.0395	0.0978	60.1742	0.0066	[{'929': '0.4'}, {'796': '0.4'}, {'356': '0.4'}, {'716': '0.4'}, {'454': '0.4'}, {'453': '0.4'}, {'380': '0.4'}, {'981': '0.4'}, {'512': '0.4'}, {'462': '0.4'}]	[{'324': '1'}, {'257': '1'}, {'254': '1'}, {'127': '1'}, {'929': '1'}, {'466': '1'}, {'130': '1'}, {'650': '1'}, {'374': '1'}, {'924': '1'}]	[{'324': '1.0'}, {'743': '1.0'}, {'894': '1.0'}, {'163': '1.0'}, {'832': '1.0'}, {'49': '1.0'}, {'380': '1.0'}, {'454': '1.0'}, {'993': '1.0'}, {'716': '1.0'}]	[{'730': '1.0'}, {'364': '1.0'}, {'380': '1.0'}, {'760': '1.0'}, {'981': '1.0'}, {'796': '1.0'}, {'330': '1.0'}, {'716': '1.0'}, {'454': '0.9829'}, {'313': '0.9709'}]	[{'981': '1.0'}, {'364': '1.0'}, {'380': '1.0'}, {'760': '1.0'}, {'796': '1.0'}, {'716': '1.0'}, {'330': '1.0'}, {'730': '1.0'}, {'454': '0.95'}, {'313': '0.9167'}]	[{'1': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}, {'660': '0.0'}, {'661': '0.0'}, {'662': '0.0'}, {'663': '0.0'}, {'665': '0.0'}, {'667': '0.0'}]	[{'1': '0'}, {'657': '0'}, {'658': '0'}, {'659': '0'}, {'660': '0'}, {'661': '0'}, {'662': '0'}, {'663': '0'}, {'665': '0'}, {'667': '0'}]	[{'1': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}, {'660': '0.0'}, {'661': '0.0'}, {'662': '0.0'}, {'663': '0.0'}, {'665': '0.0'}, {'667': '0.0'}]	[{'1': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}, {'660': '0.0'}, {'661': '0.0'}, {'662': '0.0'}, {'663': '0.0'}, {'665': '0.0'}, {'667': '0.0'}]	[{'1': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}, {'660': '0.0'}, {'661': '0.0'}, {'662': '0.0'}, {'663': '0.0'}, {'665': '0.0'}, {'667': '0.0'}]
XSimGCL	real-life-atomic-100000-2	0.0261	0.1359	0.0686	0.0529	0.0351	0.0928	64.4179	0.0127	[{'385': '0.4'}, {'477': '0.4'}, {'122': '0.4'}, {'493': '0.4'}, {'112': '0.4'}, {'497': '0.4'}, {'597': '0.4'}, {'846': '0.4'}, {'157': '0.4'}, {'869': '0.4'}]	[{'336': '1'}, {'665': '1'}, {'265': '1'}, {'978': '1'}, {'385': '1'}, {'856': '1'}, {'859': '1'}, {'971': '1'}, {'479': '1'}, {'122': '1'}]	[{'385': '1.0'}, {'962': '1.0'}, {'776': '1.0'}, {'398': '1.0'}, {'644': '1.0'}, {'394': '1.0'}, {'286': '1.0'}, {'559': '1.0'}, {'558': '1.0'}, {'639': '1.0'}]	[{'122': '1.0'}, {'164': '1.0'}, {'369': '1.0'}, {'449': '1.0'}, {'846': '1.0'}, {'477': '1.0'}, {'112': '0.9829'}, {'81': '0.9494'}, {'332': '0.928'}, {'479': '0.9268'}]	[{'369': '1.0'}, {'164': '1.0'}, {'846': '1.0'}, {'122': '1.0'}, {'477': '1.0'}, {'449': '1.0'}, {'112': '0.95'}, {'81': '0.8611'}, {'479': '0.8167'}, {'332': '0.8125'}]	[{'1': '0.0'}, {'694': '0.0'}, {'697': '0.0'}, {'700': '0.0'}, {'701': '0.0'}, {'702': '0.0'}, {'703': '0.0'}, {'704': '0.0'}, {'705': '0.0'}, {'706': '0.0'}]	[{'1': '0'}, {'694': '0'}, {'697': '0'}, {'700': '0'}, {'701': '0'}, {'702': '0'}, {'703': '0'}, {'704': '0'}, {'705': '0'}, {'706': '0'}]	[{'1': '0.0'}, {'694': '0.0'}, {'697': '0.0'}, {'700': '0.0'}, {'701': '0.0'}, {'702': '0.0'}, {'703': '0.0'}, {'704': '0.0'}, {'705': '0.0'}, {'706': '0.0'}]	[{'1': '0.0'}, {'694': '0.0'}, {'697': '0.0'}, {'700': '0.0'}, {'701': '0.0'}, {'702': '0.0'}, {'703': '0.0'}, {'704': '0.0'}, {'705': '0.0'}, {'706': '0.0'}]	[{'1': '0.0'}, {'694': '0.0'}, {'697': '0.0'}, {'700': '0.0'}, {'701': '0.0'}, {'702': '0.0'}, {'703': '0.0'}, {'704': '0.0'}, {'705': '0.0'}, {'706': '0.0'}]
XSimGCL	real-life-atomic-100000-3	0.026	0.1484	0.0671	0.0516	0.0332	0.1246	91.4236	0.0064	[{'904': '0.4'}, {'881': '0.4'}, {'377': '0.4'}, {'798': '0.4'}, {'20': '0.4'}, {'900': '0.4'}, {'17': '0.4'}, {'561': '0.4'}, {'1147': '0.4'}, {'1240': '0.4'}]	[{'1253': '1'}, {'994': '1'}, {'308': '1'}, {'322': '1'}, {'980': '1'}, {'976': '1'}, {'974': '1'}, {'331': '1'}, {'332': '1'}, {'968': '1'}]	[{'383': '1.0'}, {'904': '1.0'}, {'400': '1.0'}, {'386': '1.0'}, {'384': '1.0'}, {'377': '1.0'}, {'952': '1.0'}, {'341': '1.0'}, {'968': '1.0'}, {'974': '1.0'}]	[{'661': '1.0'}, {'1249': '1.0'}, {'629': '1.0'}, {'749': '1.0'}, {'112': '1.0'}, {'20': '1.0'}, {'711': '0.9829'}, {'377': '0.9829'}, {'607': '0.9829'}, {'904': '0.9558'}]	[{'661': '1.0'}, {'1249': '1.0'}, {'20': '1.0'}, {'112': '1.0'}, {'629': '1.0'}, {'749': '1.0'}, {'711': '0.95'}, {'377': '0.95'}, {'607': '0.95'}, {'904': '0.8875'}]	[{'1': '0.0'}, {'813': '0.0'}, {'812': '0.0'}, {'811': '0.0'}, {'810': '0.0'}, {'809': '0.0'}, {'808': '0.0'}, {'814': '0.0'}, {'807': '0.0'}, {'805': '0.0'}]	[{'1': '0'}, {'813': '0'}, {'812': '0'}, {'811': '0'}, {'810': '0'}, {'809': '0'}, {'808': '0'}, {'814': '0'}, {'807': '0'}, {'805': '0'}]	[{'1': '0.0'}, {'813': '0.0'}, {'812': '0.0'}, {'811': '0.0'}, {'810': '0.0'}, {'809': '0.0'}, {'808': '0.0'}, {'814': '0.0'}, {'807': '0.0'}, {'805': '0.0'}]	[{'1': '0.0'}, {'813': '0.0'}, {'812': '0.0'}, {'811': '0.0'}, {'810': '0.0'}, {'809': '0.0'}, {'808': '0.0'}, {'814': '0.0'}, {'807': '0.0'}, {'805': '0.0'}]	[{'1': '0.0'}, {'813': '0.0'}, {'812': '0.0'}, {'811': '0.0'}, {'810': '0.0'}, {'809': '0.0'}, {'808': '0.0'}, {'814': '0.0'}, {'807': '0.0'}, {'805': '0.0'}]
XSimGCL	real-life-atomic-100000-4	0.025	0.149	0.0638	0.0484	0.0295	0.0992	68.0955	0.0079	[{'791': '0.4'}, {'357': '0.4'}, {'952': '0.4'}, {'937': '0.4'}, {'269': '0.4'}, {'603': '0.4'}, {'46': '0.4'}, {'413': '0.4'}, {'97': '0.4'}, {'1064': '0.4'}]	[{'342': '1'}, {'986': '1'}, {'677': '1'}, {'135': '1'}, {'274': '1'}, {'683': '1'}, {'872': '1'}, {'685': '1'}, {'271': '1'}, {'974': '1'}]	[{'355': '1.0'}, {'791': '1.0'}, {'996': '1.0'}, {'357': '1.0'}, {'187': '1.0'}, {'711': '1.0'}, {'989': '1.0'}, {'183': '1.0'}, {'180': '1.0'}, {'612': '1.0'}]	[{'413': '1.0'}, {'937': '1.0'}, {'46': '1.0'}, {'791': '1.0'}, {'952': '1.0'}, {'269': '0.9829'}, {'183': '0.8768'}, {'591': '0.8494'}, {'355': '0.8319'}, {'357': '0.7945'}]	[{'46': '1.0'}, {'937': '1.0'}, {'413': '1.0'}, {'791': '1.0'}, {'952': '1.0'}, {'269': '0.95'}, {'355': '0.75'}, {'183': '0.7292'}, {'109': '0.6792'}, {'591': '0.6667'}]	[{'1': '0.0'}, {'708': '0.0'}, {'709': '0.0'}, {'710': '0.0'}, {'712': '0.0'}, {'713': '0.0'}, {'714': '0.0'}, {'715': '0.0'}, {'716': '0.0'}, {'717': '0.0'}]	[{'1': '0'}, {'708': '0'}, {'709': '0'}, {'710': '0'}, {'712': '0'}, {'713': '0'}, {'714': '0'}, {'715': '0'}, {'716': '0'}, {'717': '0'}]	[{'1': '0.0'}, {'708': '0.0'}, {'709': '0.0'}, {'710': '0.0'}, {'712': '0.0'}, {'713': '0.0'}, {'714': '0.0'}, {'715': '0.0'}, {'716': '0.0'}, {'717': '0.0'}]	[{'1': '0.0'}, {'708': '0.0'}, {'709': '0.0'}, {'710': '0.0'}, {'712': '0.0'}, {'713': '0.0'}, {'714': '0.0'}, {'715': '0.0'}, {'716': '0.0'}, {'717': '0.0'}]	[{'1': '0.0'}, {'708': '0.0'}, {'709': '0.0'}, {'710': '0.0'}, {'712': '0.0'}, {'713': '0.0'}, {'714': '0.0'}, {'715': '0.0'}, {'716': '0.0'}, {'717': '0.0'}]
XSimGCL	real-life-atomic-100000-5	0.0309	0.1638	0.084	0.0642	0.0442	0.0993	63.0072	0.0054	[{'339': '0.4'}, {'847': '0.4'}, {'218': '0.4'}, {'217': '0.4'}, {'870': '0.4'}, {'547': '0.4'}, {'680': '0.4'}, {'445': '0.4'}, {'180': '0.4'}, {'894': '0.4'}]	[{'809': '1'}, {'180': '1'}, {'675': '1'}, {'182': '1'}, {'445': '1'}, {'185': '1'}, {'186': '1'}, {'680': '1'}, {'193': '1'}, {'194': '1'}]	[{'339': '1.0'}, {'425': '1.0'}, {'515': '1.0'}, {'870': '1.0'}, {'80': '1.0'}, {'78': '1.0'}, {'981': '1.0'}, {'217': '1.0'}, {'218': '1.0'}, {'862': '1.0'}]	[{'339': '1.0'}, {'515': '1.0'}, {'124': '1.0'}, {'981': '1.0'}, {'68': '1.0'}, {'180': '1.0'}, {'680': '1.0'}, {'57': '1.0'}, {'547': '1.0'}, {'847': '1.0'}]	[{'339': '1.0'}, {'124': '1.0'}, {'515': '1.0'}, {'981': '1.0'}, {'180': '1.0'}, {'68': '1.0'}, {'680': '1.0'}, {'57': '1.0'}, {'847': '1.0'}, {'547': '1.0'}]	[{'1': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}, {'660': '0.0'}, {'661': '0.0'}, {'662': '0.0'}, {'663': '0.0'}, {'664': '0.0'}, {'665': '0.0'}]	[{'1': '0'}, {'657': '0'}, {'658': '0'}, {'659': '0'}, {'660': '0'}, {'661': '0'}, {'662': '0'}, {'663': '0'}, {'664': '0'}, {'665': '0'}]	[{'1': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}, {'660': '0.0'}, {'661': '0.0'}, {'662': '0.0'}, {'663': '0.0'}, {'664': '0.0'}, {'665': '0.0'}]	[{'1': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}, {'660': '0.0'}, {'661': '0.0'}, {'662': '0.0'}, {'663': '0.0'}, {'664': '0.0'}, {'665': '0.0'}]	[{'1': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}, {'660': '0.0'}, {'661': '0.0'}, {'662': '0.0'}, {'663': '0.0'}, {'664': '0.0'}, {'665': '0.0'}]
XSimGCL	real-life-atomic-100000-6	0.0311	0.1669	0.0808	0.0634	0.0428	0.1115	81.6214	0.0102	[{'649': '0.4'}, {'428': '0.4'}, {'825': '0.4'}, {'617': '0.4'}, {'300': '0.4'}, {'63': '0.4'}, {'64': '0.4'}, {'90': '0.4'}, {'1099': '0.4'}, {'989': '0.4'}]	[{'649': '1'}, {'758': '1'}, {'761': '1'}, {'502': '1'}, {'764': '1'}, {'767': '1'}, {'205': '1'}, {'208': '1'}, {'1006': '1'}, {'211': '1'}]	[{'649': '1.0'}, {'205': '1.0'}, {'74': '1.0'}, {'208': '1.0'}, {'214': '1.0'}, {'215': '1.0'}, {'1002': '1.0'}, {'596': '1.0'}, {'64': '1.0'}, {'782': '1.0'}]	[{'170': '1.0'}, {'757': '1.0'}, {'205': '1.0'}, {'652': '1.0'}, {'989': '1.0'}, {'64': '1.0'}, {'617': '1.0'}, {'426': '1.0'}, {'724': '0.9829'}, {'215': '0.9829'}]	[{'170': '1.0'}, {'757': '1.0'}, {'205': '1.0'}, {'652': '1.0'}, {'989': '1.0'}, {'64': '1.0'}, {'617': '1.0'}, {'426': '1.0'}, {'724': '0.95'}, {'215': '0.95'}]	[{'1': '0.0'}, {'748': '0.0'}, {'749': '0.0'}, {'750': '0.0'}, {'751': '0.0'}, {'753': '0.0'}, {'754': '0.0'}, {'755': '0.0'}, {'756': '0.0'}, {'759': '0.0'}]	[{'1': '0'}, {'748': '0'}, {'749': '0'}, {'750': '0'}, {'751': '0'}, {'753': '0'}, {'754': '0'}, {'755': '0'}, {'756': '0'}, {'759': '0'}]	[{'1': '0.0'}, {'748': '0.0'}, {'749': '0.0'}, {'750': '0.0'}, {'751': '0.0'}, {'753': '0.0'}, {'754': '0.0'}, {'755': '0.0'}, {'756': '0.0'}, {'759': '0.0'}]	[{'1': '0.0'}, {'748': '0.0'}, {'749': '0.0'}, {'750': '0.0'}, {'751': '0.0'}, {'753': '0.0'}, {'754': '0.0'}, {'755': '0.0'}, {'756': '0.0'}, {'759': '0.0'}]	[{'1': '0.0'}, {'748': '0.0'}, {'749': '0.0'}, {'750': '0.0'}, {'751': '0.0'}, {'753': '0.0'}, {'754': '0.0'}, {'755': '0.0'}, {'756': '0.0'}, {'759': '0.0'}]
XSimGCL	real-life-atomic-100000-7	0.0266	0.1459	0.0698	0.054	0.0358	0.0805	58.415	0.0182	[{'26': '0.4'}, {'846': '0.4'}, {'269': '0.4'}, {'30': '0.4'}, {'400': '0.4'}, {'713': '0.4'}, {'803': '0.4'}, {'586': '0.4'}, {'350': '0.4'}, {'706': '0.4'}]	[{'93': '1'}, {'330': '1'}, {'825': '1'}, {'639': '1'}, {'333': '1'}, {'570': '1'}, {'119': '1'}, {'120': '1'}, {'572': '1'}, {'731': '1'}]	[{'44': '1.0'}, {'466': '1.0'}, {'750': '1.0'}, {'153': '1.0'}, {'525': '1.0'}, {'885': '1.0'}, {'845': '1.0'}, {'586': '1.0'}, {'585': '1.0'}, {'803': '1.0'}]	[{'606': '1.0'}, {'400': '1.0'}, {'363': '1.0'}, {'101': '1.0'}, {'713': '0.9829'}, {'706': '0.9829'}, {'190': '0.9439'}, {'30': '0.9349'}, {'192': '0.9178'}, {'803': '0.8541'}]	[{'400': '1.0'}, {'606': '1.0'}, {'101': '1.0'}, {'363': '1.0'}, {'706': '0.95'}, {'713': '0.95'}, {'190': '0.8542'}, {'30': '0.8304'}, {'192': '0.7929'}, {'432': '0.75'}]	[{'1': '0.0'}, {'581': '0.0'}, {'582': '0.0'}, {'584': '0.0'}, {'587': '0.0'}, {'588': '0.0'}, {'590': '0.0'}, {'591': '0.0'}, {'592': '0.0'}, {'593': '0.0'}]	[{'1': '0'}, {'581': '0'}, {'582': '0'}, {'584': '0'}, {'587': '0'}, {'588': '0'}, {'590': '0'}, {'591': '0'}, {'592': '0'}, {'593': '0'}]	[{'1': '0.0'}, {'581': '0.0'}, {'582': '0.0'}, {'584': '0.0'}, {'587': '0.0'}, {'588': '0.0'}, {'590': '0.0'}, {'591': '0.0'}, {'592': '0.0'}, {'593': '0.0'}]	[{'1': '0.0'}, {'581': '0.0'}, {'582': '0.0'}, {'584': '0.0'}, {'587': '0.0'}, {'588': '0.0'}, {'590': '0.0'}, {'591': '0.0'}, {'592': '0.0'}, {'593': '0.0'}]	[{'1': '0.0'}, {'581': '0.0'}, {'582': '0.0'}, {'584': '0.0'}, {'587': '0.0'}, {'588': '0.0'}, {'590': '0.0'}, {'591': '0.0'}, {'592': '0.0'}, {'593': '0.0'}]
XSimGCL	real-life-atomic-100000-8	0.0324	0.1564	0.0753	0.0653	0.0473	0.0931	55.912	0.01	[{'331': '0.4'}, {'415': '0.4'}, {'629': '0.4'}, {'686': '0.4'}, {'826': '0.4'}, {'566': '0.4'}, {'371': '0.4'}, {'477': '0.4'}, {'75': '0.4'}, {'625': '0.4'}]	[{'1': '1'}, {'122': '1'}, {'123': '1'}, {'124': '1'}, {'868': '1'}, {'126': '1'}, {'127': '1'}, {'357': '1'}, {'435': '1'}, {'869': '1'}]	[{'459': '1.0'}, {'831': '1.0'}, {'122': '1.0'}, {'686': '1.0'}, {'566': '1.0'}, {'477': '1.0'}, {'335': '1.0'}, {'415': '1.0'}, {'157': '1.0'}, {'616': '1.0'}]	[{'127': '1.0'}, {'616': '1.0'}, {'594': '1.0'}, {'371': '1.0'}, {'629': '1.0'}, {'134': '1.0'}, {'927': '1.0'}, {'318': '1.0'}, {'691': '1.0'}, {'772': '1.0'}]	[{'261': '1.0'}, {'594': '1.0'}, {'691': '1.0'}, {'927': '1.0'}, {'127': '1.0'}, {'772': '1.0'}, {'134': '1.0'}, {'616': '1.0'}, {'371': '1.0'}, {'629': '1.0'}]	[{'486': '0.0'}, {'605': '0.0'}, {'607': '0.0'}, {'608': '0.0'}, {'609': '0.0'}, {'610': '0.0'}, {'611': '0.0'}, {'612': '0.0'}, {'613': '0.0'}, {'614': '0.0'}]	[{'486': '0'}, {'605': '0'}, {'607': '0'}, {'608': '0'}, {'609': '0'}, {'610': '0'}, {'611': '0'}, {'612': '0'}, {'613': '0'}, {'614': '0'}]	[{'486': '0.0'}, {'605': '0.0'}, {'607': '0.0'}, {'608': '0.0'}, {'609': '0.0'}, {'610': '0.0'}, {'611': '0.0'}, {'612': '0.0'}, {'613': '0.0'}, {'614': '0.0'}]	[{'486': '0.0'}, {'605': '0.0'}, {'607': '0.0'}, {'608': '0.0'}, {'609': '0.0'}, {'610': '0.0'}, {'611': '0.0'}, {'612': '0.0'}, {'613': '0.0'}, {'614': '0.0'}]	[{'486': '0.0'}, {'605': '0.0'}, {'607': '0.0'}, {'608': '0.0'}, {'609': '0.0'}, {'610': '0.0'}, {'611': '0.0'}, {'612': '0.0'}, {'613': '0.0'}, {'614': '0.0'}]
XSimGCL	real-life-atomic-100000-9	0.0355	0.1859	0.0951	0.0732	0.0498	0.0996	67.6517	0.0086	[{'285': '0.4'}, {'321': '0.4'}, {'403': '0.4'}, {'1073': '0.4'}, {'142': '0.4'}, {'432': '0.4'}, {'307': '0.4'}, {'436': '0.4'}, {'454': '0.4'}, {'325': '0.4'}]	[{'552': '1'}, {'321': '1'}, {'311': '1'}, {'309': '1'}, {'307': '1'}, {'870': '1'}, {'871': '1'}, {'850': '1'}, {'296': '1'}, {'876': '1'}]	[{'552': '1.0'}, {'81': '1.0'}, {'80': '1.0'}, {'78': '1.0'}, {'870': '1.0'}, {'76': '1.0'}, {'307': '1.0'}, {'74': '1.0'}, {'321': '1.0'}, {'284': '1.0'}]	[{'706': '1.0'}, {'510': '1.0'}, {'55': '1.0'}, {'241': '1.0'}, {'574': '1.0'}, {'182': '1.0'}, {'432': '1.0'}, {'542': '1.0'}, {'703': '1.0'}, {'668': '1.0'}]	[{'182': '1.0'}, {'55': '1.0'}, {'706': '1.0'}, {'574': '1.0'}, {'703': '1.0'}, {'510': '1.0'}, {'432': '1.0'}, {'241': '1.0'}, {'668': '1.0'}, {'542': '1.0'}]	[{'1': '0.0'}, {'694': '0.0'}, {'695': '0.0'}, {'697': '0.0'}, {'698': '0.0'}, {'699': '0.0'}, {'700': '0.0'}, {'701': '0.0'}, {'702': '0.0'}, {'704': '0.0'}]	[{'1': '0'}, {'694': '0'}, {'695': '0'}, {'697': '0'}, {'698': '0'}, {'699': '0'}, {'700': '0'}, {'701': '0'}, {'702': '0'}, {'704': '0'}]	[{'1': '0.0'}, {'694': '0.0'}, {'695': '0.0'}, {'697': '0.0'}, {'698': '0.0'}, {'699': '0.0'}, {'700': '0.0'}, {'701': '0.0'}, {'702': '0.0'}, {'704': '0.0'}]	[{'1': '0.0'}, {'694': '0.0'}, {'695': '0.0'}, {'697': '0.0'}, {'698': '0.0'}, {'699': '0.0'}, {'700': '0.0'}, {'701': '0.0'}, {'702': '0.0'}, {'704': '0.0'}]	[{'1': '0.0'}, {'694': '0.0'}, {'695': '0.0'}, {'697': '0.0'}, {'698': '0.0'}, {'699': '0.0'}, {'700': '0.0'}, {'701': '0.0'}, {'702': '0.0'}, {'704': '0.0'}]
XSimGCL	real-life-atomic-100000-10	0.033	0.182	0.0791	0.0639	0.0416	0.0943	93.0819	0.0051	[{'531': '0.4'}, {'582': '0.4'}, {'785': '0.4'}, {'427': '0.4'}, {'1142': '0.4'}, {'392': '0.4'}, {'93': '0.4'}, {'921': '0.4'}, {'26': '0.4'}, {'332': '0.4'}]	[{'339': '1'}, {'344': '1'}, {'340': '1'}, {'677': '1'}, {'954': '1'}, {'955': '1'}, {'956': '1'}, {'959': '1'}, {'332': '1'}, {'960': '1'}]	[{'339': '1.0'}, {'320': '1.0'}, {'332': '1.0'}, {'954': '1.0'}, {'677': '1.0'}, {'56': '1.0'}, {'340': '1.0'}, {'932': '1.0'}, {'930': '1.0'}, {'922': '1.0'}]	[{'799': '1.0'}, {'685': '1.0'}, {'840': '1.0'}, {'853': '1.0'}, {'677': '1.0'}, {'26': '1.0'}, {'567': '1.0'}, {'979': '1.0'}, {'921': '0.9829'}, {'1142': '0.9709'}]	[{'799': '1.0'}, {'685': '1.0'}, {'840': '1.0'}, {'26': '1.0'}, {'853': '1.0'}, {'567': '1.0'}, {'677': '1.0'}, {'979': '1.0'}, {'921': '0.95'}, {'1142': '0.9167'}]	[{'1': '0.0'}, {'768': '0.0'}, {'769': '0.0'}, {'770': '0.0'}, {'771': '0.0'}, {'772': '0.0'}, {'773': '0.0'}, {'774': '0.0'}, {'776': '0.0'}, {'777': '0.0'}]	[{'1': '0'}, {'768': '0'}, {'769': '0'}, {'770': '0'}, {'771': '0'}, {'772': '0'}, {'773': '0'}, {'774': '0'}, {'776': '0'}, {'777': '0'}]	[{'1': '0.0'}, {'768': '0.0'}, {'769': '0.0'}, {'770': '0.0'}, {'771': '0.0'}, {'772': '0.0'}, {'773': '0.0'}, {'774': '0.0'}, {'776': '0.0'}, {'777': '0.0'}]	[{'1': '0.0'}, {'768': '0.0'}, {'769': '0.0'}, {'770': '0.0'}, {'771': '0.0'}, {'772': '0.0'}, {'773': '0.0'}, {'774': '0.0'}, {'776': '0.0'}, {'777': '0.0'}]	[{'1': '0.0'}, {'768': '0.0'}, {'769': '0.0'}, {'770': '0.0'}, {'771': '0.0'}, {'772': '0.0'}, {'773': '0.0'}, {'774': '0.0'}, {'776': '0.0'}, {'777': '0.0'}]
XSimGCL	real-life-atomic-100000-11	0.0278	0.1393	0.0638	0.0551	0.0391	0.088	64.3783	0.0098	[{'368': '0.4'}, {'621': '0.4'}, {'30': '0.4'}, {'616': '0.4'}, {'614': '0.4'}, {'38': '0.4'}, {'934': '0.4'}, {'781': '0.4'}, {'930': '0.4'}, {'929': '0.4'}]	[{'672': '1'}, {'869': '1'}, {'338': '1'}, {'665': '1'}, {'866': '1'}, {'426': '1'}, {'591': '1'}, {'117': '1'}, {'871': '1'}, {'663': '1'}]	[{'368': '1.0'}, {'697': '1.0'}, {'682': '1.0'}, {'765': '1.0'}, {'880': '1.0'}, {'30': '1.0'}, {'93': '1.0'}, {'889': '1.0'}, {'890': '1.0'}, {'84': '1.0'}]	[{'903': '1.0'}, {'723': '1.0'}, {'697': '1.0'}, {'621': '1.0'}, {'622': '1.0'}, {'614': '1.0'}, {'869': '1.0'}, {'781': '1.0'}, {'880': '1.0'}, {'889': '1.0'}]	[{'622': '1.0'}, {'781': '1.0'}, {'614': '1.0'}, {'869': '1.0'}, {'621': '1.0'}, {'697': '1.0'}, {'871': '1.0'}, {'723': '1.0'}, {'880': '1.0'}, {'889': '1.0'}]	[{'1': '0.0'}, {'610': '0.0'}, {'611': '0.0'}, {'612': '0.0'}, {'613': '0.0'}, {'615': '0.0'}, {'618': '0.0'}, {'619': '0.0'}, {'620': '0.0'}, {'624': '0.0'}]	[{'1': '0'}, {'610': '0'}, {'611': '0'}, {'612': '0'}, {'613': '0'}, {'615': '0'}, {'618': '0'}, {'619': '0'}, {'620': '0'}, {'624': '0'}]	[{'1': '0.0'}, {'610': '0.0'}, {'611': '0.0'}, {'612': '0.0'}, {'613': '0.0'}, {'615': '0.0'}, {'618': '0.0'}, {'619': '0.0'}, {'620': '0.0'}, {'624': '0.0'}]	[{'1': '0.0'}, {'610': '0.0'}, {'611': '0.0'}, {'612': '0.0'}, {'613': '0.0'}, {'615': '0.0'}, {'618': '0.0'}, {'619': '0.0'}, {'620': '0.0'}, {'624': '0.0'}]	[{'1': '0.0'}, {'610': '0.0'}, {'611': '0.0'}, {'612': '0.0'}, {'613': '0.0'}, {'615': '0.0'}, {'618': '0.0'}, {'619': '0.0'}, {'620': '0.0'}, {'624': '0.0'}]
XSimGCL	real-life-atomic-100000-12	0.0301	0.167	0.0791	0.0619	0.0426	0.0872	69.146	0.0042	[{'1048': '0.4'}, {'79': '0.4'}, {'508': '0.4'}, {'505': '0.4'}, {'485': '0.4'}, {'363': '0.4'}, {'336': '0.4'}, {'334': '0.4'}, {'317': '0.4'}, {'306': '0.4'}]	[{'524': '1'}, {'481': '1'}, {'479': '1'}, {'478': '1'}, {'473': '1'}, {'468': '1'}, {'460': '1'}, {'457': '1'}, {'452': '1'}, {'448': '1'}]	[{'1048': '1.0'}, {'556': '1.0'}, {'827': '1.0'}, {'363': '1.0'}, {'33': '1.0'}, {'444': '1.0'}, {'741': '1.0'}, {'83': '1.0'}, {'735': '1.0'}, {'460': '1.0'}]	[{'1048': '1.0'}, {'73': '1.0'}, {'277': '1.0'}, {'306': '1.0'}, {'317': '1.0'}, {'334': '1.0'}, {'336': '1.0'}, {'485': '1.0'}, {'79': '1.0'}, {'33': '1.0'}]	[{'1048': '1.0'}, {'317': '1.0'}, {'73': '1.0'}, {'306': '1.0'}, {'277': '1.0'}, {'33': '1.0'}, {'79': '1.0'}, {'336': '1.0'}, {'83': '1.0'}, {'334': '1.0'}]	[{'1': '0.0'}, {'620': '0.0'}, {'621': '0.0'}, {'622': '0.0'}, {'624': '0.0'}, {'625': '0.0'}, {'628': '0.0'}, {'629': '0.0'}, {'630': '0.0'}, {'631': '0.0'}]	[{'1': '0'}, {'589': '0'}, {'590': '0'}, {'591': '0'}, {'592': '0'}, {'593': '0'}, {'595': '0'}, {'596': '0'}, {'597': '0'}, {'598': '0'}]	[{'1': '0.0'}, {'600': '0.0'}, {'601': '0.0'}, {'602': '0.0'}, {'603': '0.0'}, {'604': '0.0'}, {'605': '0.0'}, {'606': '0.0'}, {'607': '0.0'}, {'608': '0.0'}]	[{'1': '0.0'}, {'619': '0.0'}, {'620': '0.0'}, {'621': '0.0'}, {'622': '0.0'}, {'624': '0.0'}, {'625': '0.0'}, {'628': '0.0'}, {'629': '0.0'}, {'630': '0.0'}]	[{'1': '0.0'}, {'614': '0.0'}, {'615': '0.0'}, {'616': '0.0'}, {'617': '0.0'}, {'618': '0.0'}, {'619': '0.0'}, {'620': '0.0'}, {'621': '0.0'}, {'622': '0.0'}]
