Model	dataset	precision@10	hit@10	mrr@10	ndcg@10	map@10	itemcoverage@10	averagepopularity@10	tailpercentage@10	best_user_precision@[10]	best_user_hit@[10]	best_user_mrr@[10]	best_user_ndcg@[10]	best_user_map@[10]	worst_user_precision@[10]	worst_user_hit@[10]	worst_user_mrr@[10]	worst_user_ndcg@[10]	worst_user_map@[10]
UltraGCN	real-life-atomic-100000-1	0.0286	0.1636	0.0762	0.0584	0.0386	0.0765	74.1901	0.0	[{'796': '0.4'}, {'380': '0.4'}, {'730': '0.4'}, {'414': '0.4'}, {'364': '0.4'}, {'981': '0.4'}, {'330': '0.4'}, {'760': '0.4'}, {'761': '0.4'}, {'454': '0.4'}]	[{'520': '1'}, {'263': '1'}, {'809': '1'}, {'267': '1'}, {'805': '1'}, {'271': '1'}, {'272': '1'}, {'801': '1'}, {'279': '1'}, {'286': '1'}]	[{'796': '1.0'}, {'457': '1.0'}, {'33': '1.0'}, {'454': '1.0'}, {'453': '1.0'}, {'445': '1.0'}, {'730': '1.0'}, {'673': '1.0'}, {'416': '1.0'}, {'49': '1.0'}]	[{'380': '1.0'}, {'730': '1.0'}, {'981': '1.0'}, {'760': '1.0'}, {'716': '1.0'}, {'224': '1.0'}, {'454': '0.9709'}, {'462': '0.962'}, {'929': '0.9558'}, {'796': '0.9558'}]	[{'760': '1.0'}, {'730': '1.0'}, {'981': '1.0'}, {'380': '1.0'}, {'716': '1.0'}, {'224': '1.0'}, {'454': '0.9167'}, {'462': '0.8929'}, {'796': '0.8875'}, {'364': '0.8875'}]	[{'1': '0.0'}, {'651': '0.0'}, {'652': '0.0'}, {'653': '0.0'}, {'654': '0.0'}, {'655': '0.0'}, {'656': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}]	[{'1': '0'}, {'651': '0'}, {'652': '0'}, {'653': '0'}, {'654': '0'}, {'655': '0'}, {'656': '0'}, {'657': '0'}, {'658': '0'}, {'659': '0'}]	[{'1': '0.0'}, {'651': '0.0'}, {'652': '0.0'}, {'653': '0.0'}, {'654': '0.0'}, {'655': '0.0'}, {'656': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}]	[{'1': '0.0'}, {'651': '0.0'}, {'652': '0.0'}, {'653': '0.0'}, {'654': '0.0'}, {'655': '0.0'}, {'656': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}]	[{'1': '0.0'}, {'651': '0.0'}, {'652': '0.0'}, {'653': '0.0'}, {'654': '0.0'}, {'655': '0.0'}, {'656': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}]
UltraGCN	real-life-atomic-100000-2	0.0292	0.168	0.076	0.0579	0.0373	0.0568	93.4977	0.0002	[{'597': '0.4'}, {'639': '0.4'}, {'385': '0.4'}, {'526': '0.4'}, {'523': '0.4'}, {'112': '0.4'}, {'433': '0.4'}, {'122': '0.4'}, {'369': '0.4'}, {'509': '0.4'}]	[{'597': '1'}, {'971': '1'}, {'143': '1'}, {'856': '1'}, {'969': '1'}, {'495': '1'}, {'751': '1'}, {'493': '1'}, {'965': '1'}, {'679': '1'}]	[{'597': '1.0'}, {'855': '1.0'}, {'983': '1.0'}, {'122': '1.0'}, {'433': '1.0'}, {'516': '1.0'}, {'112': '1.0'}, {'393': '1.0'}, {'143': '1.0'}, {'1000': '1.0'}]	[{'449': '1.0'}, {'477': '1.0'}, {'164': '1.0'}, {'122': '1.0'}, {'523': '1.0'}, {'639': '1.0'}, {'369': '1.0'}, {'332': '1.0'}, {'1074': '0.9829'}, {'846': '0.962'}]	[{'449': '1.0'}, {'477': '1.0'}, {'164': '1.0'}, {'122': '1.0'}, {'523': '1.0'}, {'639': '1.0'}, {'369': '1.0'}, {'332': '1.0'}, {'1074': '0.95'}, {'846': '0.8929'}]	[{'1': '0.0'}, {'687': '0.0'}, {'688': '0.0'}, {'689': '0.0'}, {'690': '0.0'}, {'691': '0.0'}, {'692': '0.0'}, {'693': '0.0'}, {'694': '0.0'}, {'696': '0.0'}]	[{'1': '0'}, {'687': '0'}, {'688': '0'}, {'689': '0'}, {'690': '0'}, {'691': '0'}, {'692': '0'}, {'693': '0'}, {'694': '0'}, {'696': '0'}]	[{'1': '0.0'}, {'687': '0.0'}, {'688': '0.0'}, {'689': '0.0'}, {'690': '0.0'}, {'691': '0.0'}, {'692': '0.0'}, {'693': '0.0'}, {'694': '0.0'}, {'696': '0.0'}]	[{'1': '0.0'}, {'687': '0.0'}, {'688': '0.0'}, {'689': '0.0'}, {'690': '0.0'}, {'691': '0.0'}, {'692': '0.0'}, {'693': '0.0'}, {'694': '0.0'}, {'696': '0.0'}]	[{'1': '0.0'}, {'687': '0.0'}, {'688': '0.0'}, {'689': '0.0'}, {'690': '0.0'}, {'691': '0.0'}, {'692': '0.0'}, {'693': '0.0'}, {'694': '0.0'}, {'696': '0.0'}]
UltraGCN	real-life-atomic-100000-3	0.028	0.1716	0.0761	0.0555	0.0344	0.0874	126.2596	0.0002	[{'377': '0.4'}, {'868': '0.4'}, {'904': '0.4'}, {'20': '0.4'}, {'661': '0.4'}, {'952': '0.4'}, {'749': '0.4'}, {'386': '0.4'}, {'881': '0.4'}, {'744': '0.4'}]	[{'1253': '1'}, {'1123': '1'}, {'578': '1'}, {'162': '1'}, {'1120': '1'}, {'329': '1'}, {'575': '1'}, {'574': '1'}, {'872': '1'}, {'171': '1'}]	[{'1253': '1.0'}, {'661': '1.0'}, {'173': '1.0'}, {'869': '1.0'}, {'872': '1.0'}, {'575': '1.0'}, {'92': '1.0'}, {'385': '1.0'}, {'383': '1.0'}, {'933': '1.0'}]	[{'904': '1.0'}, {'629': '1.0'}, {'749': '1.0'}, {'1191': '0.9829'}, {'1032': '0.9829'}, {'661': '0.9829'}, {'20': '0.9709'}, {'386': '0.9558'}, {'1249': '0.9494'}, {'535': '0.9005'}]	[{'904': '1.0'}, {'629': '1.0'}, {'749': '1.0'}, {'661': '0.95'}, {'1191': '0.95'}, {'1032': '0.95'}, {'20': '0.9167'}, {'386': '0.8875'}, {'1249': '0.8611'}, {'535': '0.75'}]	[{'1': '0.0'}, {'781': '0.0'}, {'782': '0.0'}, {'783': '0.0'}, {'784': '0.0'}, {'787': '0.0'}, {'788': '0.0'}, {'791': '0.0'}, {'792': '0.0'}, {'794': '0.0'}]	[{'1': '0'}, {'781': '0'}, {'782': '0'}, {'783': '0'}, {'784': '0'}, {'787': '0'}, {'788': '0'}, {'791': '0'}, {'792': '0'}, {'794': '0'}]	[{'1': '0.0'}, {'781': '0.0'}, {'782': '0.0'}, {'783': '0.0'}, {'784': '0.0'}, {'787': '0.0'}, {'788': '0.0'}, {'791': '0.0'}, {'792': '0.0'}, {'794': '0.0'}]	[{'1': '0.0'}, {'781': '0.0'}, {'782': '0.0'}, {'783': '0.0'}, {'784': '0.0'}, {'787': '0.0'}, {'788': '0.0'}, {'791': '0.0'}, {'792': '0.0'}, {'794': '0.0'}]	[{'1': '0.0'}, {'781': '0.0'}, {'782': '0.0'}, {'783': '0.0'}, {'784': '0.0'}, {'787': '0.0'}, {'788': '0.0'}, {'791': '0.0'}, {'792': '0.0'}, {'794': '0.0'}]
UltraGCN	real-life-atomic-100000-4	0.0195	0.119	0.0574	0.0392	0.0228	0.0033	203.2571	0.0	[{'658': '0.4'}, {'787': '0.4'}, {'524': '0.4'}, {'967': '0.4'}, {'318': '0.4'}, {'109': '0.4'}, {'809': '0.3'}, {'618': '0.3'}, {'630': '0.3'}, {'522': '0.3'}]	[{'326': '1'}, {'112': '1'}, {'1000': '1'}, {'492': '1'}, {'996': '1'}, {'489': '1'}, {'872': '1'}, {'253': '1'}, {'485': '1'}, {'383': '1'}]	[{'658': '1.0'}, {'342': '1.0'}, {'683': '1.0'}, {'522': '1.0'}, {'1064': '1.0'}, {'550': '1.0'}, {'736': '1.0'}, {'618': '1.0'}, {'46': '1.0'}, {'855': '1.0'}]	[{'524': '1.0'}, {'109': '0.8541'}, {'658': '0.8327'}, {'967': '0.8106'}, {'1002': '0.8048'}, {'771': '0.7668'}, {'787': '0.7654'}, {'618': '0.7598'}, {'693': '0.6976'}, {'522': '0.6817'}]	[{'524': '1.0'}, {'1002': '0.6875'}, {'109': '0.6778'}, {'658': '0.65'}, {'967': '0.6179'}, {'771': '0.6071'}, {'618': '0.5938'}, {'787': '0.5271'}, {'290': '0.5'}, {'693': '0.5'}]	[{'1': '0.0'}, {'709': '0.0'}, {'710': '0.0'}, {'711': '0.0'}, {'712': '0.0'}, {'713': '0.0'}, {'714': '0.0'}, {'715': '0.0'}, {'716': '0.0'}, {'717': '0.0'}]	[{'1': '0'}, {'709': '0'}, {'710': '0'}, {'711': '0'}, {'712': '0'}, {'713': '0'}, {'714': '0'}, {'715': '0'}, {'716': '0'}, {'717': '0'}]	[{'1': '0.0'}, {'709': '0.0'}, {'710': '0.0'}, {'711': '0.0'}, {'712': '0.0'}, {'713': '0.0'}, {'714': '0.0'}, {'715': '0.0'}, {'716': '0.0'}, {'717': '0.0'}]	[{'1': '0.0'}, {'709': '0.0'}, {'710': '0.0'}, {'711': '0.0'}, {'712': '0.0'}, {'713': '0.0'}, {'714': '0.0'}, {'715': '0.0'}, {'716': '0.0'}, {'717': '0.0'}]	[{'1': '0.0'}, {'709': '0.0'}, {'710': '0.0'}, {'711': '0.0'}, {'712': '0.0'}, {'713': '0.0'}, {'714': '0.0'}, {'715': '0.0'}, {'716': '0.0'}, {'717': '0.0'}]
UltraGCN	real-life-atomic-100000-5	0.0323	0.1791	0.083	0.0649	0.0432	0.0653	87.3656	0.0	[{'245': '0.4'}, {'547': '0.4'}, {'27': '0.4'}, {'680': '0.4'}, {'894': '0.4'}, {'298': '0.4'}, {'180': '0.4'}, {'515': '0.4'}, {'870': '0.4'}, {'869': '0.4'}]	[{'1044': '1'}, {'182': '1'}, {'456': '1'}, {'455': '1'}, {'185': '1'}, {'890': '1'}, {'669': '1'}, {'672': '1'}, {'194': '1'}, {'195': '1'}]	[{'955': '1.0'}, {'398': '1.0'}, {'860': '1.0'}, {'948': '1.0'}, {'124': '1.0'}, {'445': '1.0'}, {'878': '1.0'}, {'547': '1.0'}, {'680': '1.0'}, {'208': '1.0'}]	[{'981': '1.0'}, {'847': '1.0'}, {'68': '1.0'}, {'680': '1.0'}, {'547': '1.0'}, {'180': '1.0'}, {'515': '1.0'}, {'290': '1.0'}, {'365': '1.0'}, {'124': '1.0'}]	[{'57': '1.0'}, {'124': '1.0'}, {'515': '1.0'}, {'290': '1.0'}, {'847': '1.0'}, {'68': '1.0'}, {'365': '1.0'}, {'180': '1.0'}, {'680': '1.0'}, {'981': '1.0'}]	[{'1': '0.0'}, {'650': '0.0'}, {'651': '0.0'}, {'652': '0.0'}, {'654': '0.0'}, {'655': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}, {'660': '0.0'}]	[{'1': '0'}, {'650': '0'}, {'651': '0'}, {'652': '0'}, {'654': '0'}, {'655': '0'}, {'657': '0'}, {'658': '0'}, {'659': '0'}, {'660': '0'}]	[{'1': '0.0'}, {'650': '0.0'}, {'651': '0.0'}, {'652': '0.0'}, {'654': '0.0'}, {'655': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}, {'660': '0.0'}]	[{'1': '0.0'}, {'650': '0.0'}, {'651': '0.0'}, {'652': '0.0'}, {'654': '0.0'}, {'655': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}, {'660': '0.0'}]	[{'1': '0.0'}, {'650': '0.0'}, {'651': '0.0'}, {'652': '0.0'}, {'654': '0.0'}, {'655': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}, {'660': '0.0'}]
UltraGCN	real-life-atomic-100000-6	0.0173	0.1271	0.0472	0.0318	0.0156	0.0037	212.1325	0.0	[{'983': '0.3'}, {'887': '0.3'}, {'228': '0.3'}, {'100': '0.3'}, {'59': '0.3'}, {'763': '0.3'}, {'971': '0.3'}, {'880': '0.3'}, {'905': '0.2'}, {'693': '0.2'}]	[{'905': '1'}, {'712': '1'}, {'937': '1'}, {'938': '1'}, {'1066': '1'}, {'716': '1'}, {'941': '1'}, {'135': '1'}, {'136': '1'}, {'1061': '1'}]	[{'702': '1.0'}, {'51': '1.0'}, {'598': '1.0'}, {'70': '1.0'}, {'75': '1.0'}, {'916': '1.0'}, {'831': '1.0'}, {'90': '1.0'}, {'367': '1.0'}, {'706': '1.0'}]	[{'763': '0.7537'}, {'702': '0.5585'}, {'916': '0.5585'}, {'70': '0.5414'}, {'764': '0.5414'}, {'90': '0.5414'}, {'757': '0.5414'}, {'155': '0.5414'}, {'435': '0.5294'}, {'754': '0.5294'}]	[{'763': '0.6042'}, {'702': '0.375'}, {'916': '0.375'}, {'70': '0.35'}, {'764': '0.35'}, {'90': '0.35'}, {'757': '0.35'}, {'155': '0.35'}, {'598': '0.3333'}, {'754': '0.3333'}]	[{'1': '0.0'}, {'747': '0.0'}, {'748': '0.0'}, {'749': '0.0'}, {'750': '0.0'}, {'751': '0.0'}, {'755': '0.0'}, {'756': '0.0'}, {'758': '0.0'}, {'759': '0.0'}]	[{'1': '0'}, {'747': '0'}, {'748': '0'}, {'749': '0'}, {'750': '0'}, {'751': '0'}, {'755': '0'}, {'756': '0'}, {'758': '0'}, {'759': '0'}]	[{'1': '0.0'}, {'747': '0.0'}, {'748': '0.0'}, {'749': '0.0'}, {'750': '0.0'}, {'751': '0.0'}, {'755': '0.0'}, {'756': '0.0'}, {'758': '0.0'}, {'759': '0.0'}]	[{'1': '0.0'}, {'747': '0.0'}, {'748': '0.0'}, {'749': '0.0'}, {'750': '0.0'}, {'751': '0.0'}, {'755': '0.0'}, {'756': '0.0'}, {'758': '0.0'}, {'759': '0.0'}]	[{'1': '0.0'}, {'747': '0.0'}, {'748': '0.0'}, {'749': '0.0'}, {'750': '0.0'}, {'751': '0.0'}, {'755': '0.0'}, {'756': '0.0'}, {'758': '0.0'}, {'759': '0.0'}]
UltraGCN	real-life-atomic-100000-7	0.0256	0.1438	0.0652	0.0509	0.0325	0.0457	80.7761	0.0003	[{'706': '0.4'}, {'26': '0.4'}, {'363': '0.4'}, {'713': '0.4'}, {'190': '0.4'}, {'192': '0.4'}, {'30': '0.4'}, {'269': '0.4'}, {'874': '0.4'}, {'400': '0.4'}]	[{'598': '1'}, {'153': '1'}, {'380': '1'}, {'155': '1'}, {'606': '1'}, {'377': '1'}, {'610': '1'}, {'163': '1'}, {'164': '1'}, {'166': '1'}]	[{'30': '1.0'}, {'101': '1.0'}, {'26': '1.0'}, {'706': '1.0'}, {'312': '1.0'}, {'606': '1.0'}, {'846': '1.0'}, {'713': '1.0'}, {'525': '1.0'}, {'305': '1.0'}]	[{'363': '1.0'}, {'713': '1.0'}, {'400': '1.0'}, {'706': '1.0'}, {'30': '0.9447'}, {'192': '0.9268'}, {'190': '0.8797'}, {'586': '0.8756'}, {'26': '0.8541'}, {'312': '0.8319'}]	[{'363': '1.0'}, {'706': '1.0'}, {'400': '1.0'}, {'713': '1.0'}, {'30': '0.85'}, {'192': '0.8167'}, {'312': '0.75'}, {'432': '0.75'}, {'586': '0.7333'}, {'190': '0.7071'}]	[{'1': '0.0'}, {'580': '0.0'}, {'581': '0.0'}, {'582': '0.0'}, {'584': '0.0'}, {'587': '0.0'}, {'588': '0.0'}, {'589': '0.0'}, {'590': '0.0'}, {'591': '0.0'}]	[{'1': '0'}, {'580': '0'}, {'581': '0'}, {'582': '0'}, {'584': '0'}, {'587': '0'}, {'588': '0'}, {'589': '0'}, {'590': '0'}, {'591': '0'}]	[{'1': '0.0'}, {'580': '0.0'}, {'581': '0.0'}, {'582': '0.0'}, {'584': '0.0'}, {'587': '0.0'}, {'588': '0.0'}, {'589': '0.0'}, {'590': '0.0'}, {'591': '0.0'}]	[{'1': '0.0'}, {'580': '0.0'}, {'581': '0.0'}, {'582': '0.0'}, {'584': '0.0'}, {'587': '0.0'}, {'588': '0.0'}, {'589': '0.0'}, {'590': '0.0'}, {'591': '0.0'}]	[{'1': '0.0'}, {'580': '0.0'}, {'581': '0.0'}, {'582': '0.0'}, {'584': '0.0'}, {'587': '0.0'}, {'588': '0.0'}, {'589': '0.0'}, {'590': '0.0'}, {'591': '0.0'}]
UltraGCN	real-life-atomic-100000-8	0.0352	0.18	0.0791	0.0688	0.0481	0.0541	79.0619	0.0	[{'427': '0.4'}, {'75': '0.4'}, {'477': '0.4'}, {'81': '0.4'}, {'594': '0.4'}, {'103': '0.4'}, {'122': '0.4'}, {'127': '0.4'}, {'134': '0.4'}, {'144': '0.4'}]	[{'757': '1'}, {'418': '1'}, {'172': '1'}, {'831': '1'}, {'629': '1'}, {'415': '1'}, {'176': '1'}, {'177': '1'}, {'414': '1'}, {'826': '1'}]	[{'427': '1.0'}, {'629': '1.0'}, {'625': '1.0'}, {'852': '1.0'}, {'616': '1.0'}, {'144': '1.0'}, {'142': '1.0'}, {'134': '1.0'}, {'129': '1.0'}, {'127': '1.0'}]	[{'318': '1.0'}, {'594': '1.0'}, {'127': '1.0'}, {'134': '1.0'}, {'616': '1.0'}, {'629': '1.0'}, {'190': '1.0'}, {'566': '1.0'}, {'230': '1.0'}, {'927': '1.0'}]	[{'318': '1.0'}, {'594': '1.0'}, {'127': '1.0'}, {'134': '1.0'}, {'616': '1.0'}, {'629': '1.0'}, {'566': '1.0'}, {'230': '1.0'}, {'190': '1.0'}, {'927': '1.0'}]	[{'1': '0.0'}, {'603': '0.0'}, {'604': '0.0'}, {'605': '0.0'}, {'607': '0.0'}, {'608': '0.0'}, {'609': '0.0'}, {'610': '0.0'}, {'611': '0.0'}, {'612': '0.0'}]	[{'1': '0'}, {'603': '0'}, {'604': '0'}, {'605': '0'}, {'607': '0'}, {'608': '0'}, {'609': '0'}, {'610': '0'}, {'611': '0'}, {'612': '0'}]	[{'1': '0.0'}, {'603': '0.0'}, {'604': '0.0'}, {'605': '0.0'}, {'607': '0.0'}, {'608': '0.0'}, {'609': '0.0'}, {'610': '0.0'}, {'611': '0.0'}, {'612': '0.0'}]	[{'1': '0.0'}, {'603': '0.0'}, {'604': '0.0'}, {'605': '0.0'}, {'607': '0.0'}, {'608': '0.0'}, {'609': '0.0'}, {'610': '0.0'}, {'611': '0.0'}, {'612': '0.0'}]	[{'1': '0.0'}, {'603': '0.0'}, {'604': '0.0'}, {'605': '0.0'}, {'607': '0.0'}, {'608': '0.0'}, {'609': '0.0'}, {'610': '0.0'}, {'611': '0.0'}, {'612': '0.0'}]
UltraGCN	real-life-atomic-100000-9	0.0354	0.1958	0.0929	0.0721	0.0482	0.0607	94.4234	0.0	[{'198': '0.4'}, {'307': '0.4'}, {'871': '0.4'}, {'325': '0.4'}, {'55': '0.4'}, {'713': '0.4'}, {'706': '0.4'}, {'703': '0.4'}, {'677': '0.4'}, {'403': '0.4'}]	[{'552': '1'}, {'471': '1'}, {'468': '1'}, {'456': '1'}, {'454': '1'}, {'452': '1'}, {'451': '1'}, {'440': '1'}, {'437': '1'}, {'436': '1'}]	[{'80': '1.0'}, {'557': '1.0'}, {'296': '1.0'}, {'81': '1.0'}, {'574': '1.0'}, {'576': '1.0'}, {'578': '1.0'}, {'284': '1.0'}, {'649': '1.0'}, {'653': '1.0'}]	[{'55': '1.0'}, {'307': '1.0'}, {'198': '1.0'}, {'713': '1.0'}, {'706': '1.0'}, {'703': '1.0'}, {'574': '1.0'}, {'241': '1.0'}, {'471': '1.0'}, {'436': '1.0'}]	[{'432': '1.0'}, {'307': '1.0'}, {'436': '1.0'}, {'55': '1.0'}, {'713': '1.0'}, {'198': '1.0'}, {'706': '1.0'}, {'703': '1.0'}, {'574': '1.0'}, {'510': '1.0'}]	[{'1': '0.0'}, {'599': '0.0'}, {'600': '0.0'}, {'601': '0.0'}, {'962': '0.0'}, {'603': '0.0'}, {'604': '0.0'}, {'605': '0.0'}, {'606': '0.0'}, {'607': '0.0'}]	[{'1': '0'}, {'605': '0'}, {'606': '0'}, {'607': '0'}, {'608': '0'}, {'609': '0'}, {'610': '0'}, {'611': '0'}, {'612': '0'}, {'613': '0'}]	[{'1': '0.0'}, {'614': '0.0'}, {'615': '0.0'}, {'616': '0.0'}, {'617': '0.0'}, {'618': '0.0'}, {'619': '0.0'}, {'621': '0.0'}, {'622': '0.0'}, {'623': '0.0'}]	[{'1': '0.0'}, {'613': '0.0'}, {'614': '0.0'}, {'615': '0.0'}, {'616': '0.0'}, {'617': '0.0'}, {'618': '0.0'}, {'619': '0.0'}, {'621': '0.0'}, {'622': '0.0'}]	[{'1': '0.0'}, {'613': '0.0'}, {'614': '0.0'}, {'615': '0.0'}, {'616': '0.0'}, {'617': '0.0'}, {'618': '0.0'}, {'619': '0.0'}, {'621': '0.0'}, {'622': '0.0'}]
UltraGCN	real-life-atomic-100000-10	0.0329	0.1868	0.085	0.0653	0.0423	0.068	125.773	0.0	[{'799': '0.4'}, {'26': '0.4'}, {'332': '0.4'}, {'56': '0.4'}, {'295': '0.4'}, {'659': '0.4'}, {'93': '0.4'}, {'979': '0.4'}, {'921': '0.4'}, {'427': '0.4'}]	[{'406': '1'}, {'1090': '1'}, {'565': '1'}, {'864': '1'}, {'775': '1'}, {'776': '1'}, {'332': '1'}, {'331': '1'}, {'559': '1'}, {'183': '1'}]	[{'505': '1.0'}, {'979': '1.0'}, {'523': '1.0'}, {'719': '1.0'}, {'273': '1.0'}, {'1106': '1.0'}, {'915': '1.0'}, {'955': '1.0'}, {'762': '1.0'}, {'369': '1.0'}]	[{'567': '1.0'}, {'677': '1.0'}, {'26': '1.0'}, {'646': '1.0'}, {'840': '1.0'}, {'659': '1.0'}, {'799': '0.9829'}, {'921': '0.9829'}, {'531': '0.9829'}, {'979': '0.9829'}]	[{'840': '1.0'}, {'659': '1.0'}, {'677': '1.0'}, {'646': '1.0'}, {'567': '1.0'}, {'26': '1.0'}, {'531': '0.95'}, {'921': '0.95'}, {'799': '0.95'}, {'304': '0.95'}]	[{'1': '0.0'}, {'777': '0.0'}, {'778': '0.0'}, {'779': '0.0'}, {'780': '0.0'}, {'782': '0.0'}, {'784': '0.0'}, {'786': '0.0'}, {'787': '0.0'}, {'789': '0.0'}]	[{'1': '0'}, {'777': '0'}, {'778': '0'}, {'779': '0'}, {'780': '0'}, {'782': '0'}, {'784': '0'}, {'786': '0'}, {'787': '0'}, {'789': '0'}]	[{'1': '0.0'}, {'777': '0.0'}, {'778': '0.0'}, {'779': '0.0'}, {'780': '0.0'}, {'782': '0.0'}, {'784': '0.0'}, {'786': '0.0'}, {'787': '0.0'}, {'789': '0.0'}]	[{'1': '0.0'}, {'777': '0.0'}, {'778': '0.0'}, {'779': '0.0'}, {'780': '0.0'}, {'782': '0.0'}, {'784': '0.0'}, {'786': '0.0'}, {'787': '0.0'}, {'789': '0.0'}]	[{'1': '0.0'}, {'777': '0.0'}, {'778': '0.0'}, {'779': '0.0'}, {'780': '0.0'}, {'782': '0.0'}, {'784': '0.0'}, {'786': '0.0'}, {'787': '0.0'}, {'789': '0.0'}]
UltraGCN	real-life-atomic-100000-11	0.027	0.1393	0.0612	0.0529	0.0368	0.0577	84.3929	0.0005	[{'444': '0.4'}, {'614': '0.4'}, {'781': '0.4'}, {'903': '0.4'}, {'248': '0.4'}, {'621': '0.4'}, {'934': '0.4'}, {'748': '0.4'}, {'622': '0.4'}, {'368': '0.4'}]	[{'518': '1'}, {'426': '1'}, {'138': '1'}, {'601': '1'}, {'602': '1'}, {'420': '1'}, {'419': '1'}, {'412': '1'}, {'410': '1'}, {'154': '1'}]	[{'583': '1.0'}, {'30': '1.0'}, {'781': '1.0'}, {'38': '1.0'}, {'934': '1.0'}, {'368': '1.0'}, {'196': '1.0'}, {'921': '1.0'}, {'871': '1.0'}, {'386': '1.0'}]	[{'583': '1.0'}, {'871': '1.0'}, {'723': '1.0'}, {'748': '1.0'}, {'880': '1.0'}, {'697': '1.0'}, {'781': '1.0'}, {'622': '1.0'}, {'860': '1.0'}, {'889': '1.0'}]	[{'583': '1.0'}, {'781': '1.0'}, {'748': '1.0'}, {'890': '1.0'}, {'622': '1.0'}, {'889': '1.0'}, {'871': '1.0'}, {'860': '1.0'}, {'723': '1.0'}, {'697': '1.0'}]	[{'1': '0.0'}, {'612': '0.0'}, {'613': '0.0'}, {'615': '0.0'}, {'618': '0.0'}, {'619': '0.0'}, {'620': '0.0'}, {'623': '0.0'}, {'624': '0.0'}, {'625': '0.0'}]	[{'1': '0'}, {'612': '0'}, {'613': '0'}, {'615': '0'}, {'618': '0'}, {'619': '0'}, {'620': '0'}, {'623': '0'}, {'624': '0'}, {'625': '0'}]	[{'1': '0.0'}, {'612': '0.0'}, {'613': '0.0'}, {'615': '0.0'}, {'618': '0.0'}, {'619': '0.0'}, {'620': '0.0'}, {'623': '0.0'}, {'624': '0.0'}, {'625': '0.0'}]	[{'1': '0.0'}, {'612': '0.0'}, {'613': '0.0'}, {'615': '0.0'}, {'618': '0.0'}, {'619': '0.0'}, {'620': '0.0'}, {'623': '0.0'}, {'624': '0.0'}, {'625': '0.0'}]	[{'1': '0.0'}, {'612': '0.0'}, {'613': '0.0'}, {'615': '0.0'}, {'618': '0.0'}, {'619': '0.0'}, {'620': '0.0'}, {'623': '0.0'}, {'624': '0.0'}, {'625': '0.0'}]
UltraGCN	real-life-atomic-100000-12	0.0308	0.1689	0.0776	0.0621	0.0424	0.0599	91.7514	0.0003	[{'1048': '0.4'}, {'83': '0.4'}, {'503': '0.4'}, {'485': '0.4'}, {'913': '0.4'}, {'479': '0.4'}, {'79': '0.4'}, {'73': '0.4'}, {'33': '0.4'}, {'937': '0.4'}]	[{'524': '1'}, {'485': '1'}, {'481': '1'}, {'479': '1'}, {'478': '1'}, {'473': '1'}, {'468': '1'}, {'460': '1'}, {'457': '1'}, {'448': '1'}]	[{'1048': '1.0'}, {'460': '1.0'}, {'478': '1.0'}, {'479': '1.0'}, {'481': '1.0'}, {'485': '1.0'}, {'503': '1.0'}, {'508': '1.0'}, {'83': '1.0'}, {'514': '1.0'}]	[{'73': '1.0'}, {'83': '1.0'}, {'485': '1.0'}, {'33': '1.0'}, {'363': '1.0'}, {'336': '1.0'}, {'334': '1.0'}, {'992': '1.0'}, {'317': '1.0'}, {'277': '1.0'}]	[{'73': '1.0'}, {'83': '1.0'}, {'485': '1.0'}, {'992': '1.0'}, {'33': '1.0'}, {'336': '1.0'}, {'334': '1.0'}, {'363': '1.0'}, {'317': '1.0'}, {'277': '1.0'}]	[{'1': '0.0'}, {'938': '0.0'}, {'581': '0.0'}, {'582': '0.0'}, {'583': '0.0'}, {'936': '0.0'}, {'585': '0.0'}, {'586': '0.0'}, {'587': '0.0'}, {'588': '0.0'}]	[{'1': '0'}, {'586': '0'}, {'587': '0'}, {'588': '0'}, {'589': '0'}, {'944': '0'}, {'591': '0'}, {'592': '0'}, {'943': '0'}, {'594': '0'}]	[{'1': '0.0'}, {'591': '0.0'}, {'592': '0.0'}, {'950': '0.0'}, {'594': '0.0'}, {'595': '0.0'}, {'596': '0.0'}, {'597': '0.0'}, {'948': '0.0'}, {'599': '0.0'}]	[{'1': '0.0'}, {'589': '0.0'}, {'948': '0.0'}, {'591': '0.0'}, {'592': '0.0'}, {'947': '0.0'}, {'594': '0.0'}, {'595': '0.0'}, {'596': '0.0'}, {'597': '0.0'}]	[{'1': '0.0'}, {'589': '0.0'}, {'948': '0.0'}, {'591': '0.0'}, {'592': '0.0'}, {'947': '0.0'}, {'594': '0.0'}, {'595': '0.0'}, {'596': '0.0'}, {'597': '0.0'}]
