Model	dataset	precision@10	hit@10	mrr@10	ndcg@10	map@10	itemcoverage@10	averagepopularity@10	tailpercentage@10	best_user_precision@[10]	best_user_hit@[10]	best_user_mrr@[10]	best_user_ndcg@[10]	best_user_map@[10]	worst_user_precision@[10]	worst_user_hit@[10]	worst_user_mrr@[10]	worst_user_ndcg@[10]	worst_user_map@[10]
AsymUserKNN	mids-100000-1	0.1432	0.5695	0.3156	0.1825	0.1126	0.1132	60.756	0.0123	[{'300': '1.0'}, {'790': '1.0'}, {'363': '1.0'}, {'112': '1.0'}, {'485': '1.0'}, {'757': '1.0'}, {'329': '1.0'}, {'379': '1.0'}, {'740': '1.0'}, {'926': '1.0'}]	[{'1': '1'}, {'845': '1'}, {'844': '1'}, {'843': '1'}, {'464': '1'}, {'465': '1'}, {'466': '1'}, {'467': '1'}, {'460': '1'}, {'468': '1'}]	[{'1': '1.0'}, {'386': '1.0'}, {'385': '1.0'}, {'875': '1.0'}, {'383': '1.0'}, {'379': '1.0'}, {'378': '1.0'}, {'375': '1.0'}, {'374': '1.0'}, {'372': '1.0'}]	[{'790': '1.0'}, {'926': '1.0'}, {'379': '1.0'}, {'978': '1.0'}, {'112': '1.0'}, {'713': '1.0'}, {'485': '1.0'}, {'934': '1.0'}, {'757': '1.0'}, {'740': '1.0'}]	[{'112': '1.0'}, {'790': '1.0'}, {'740': '1.0'}, {'934': '1.0'}, {'485': '1.0'}, {'978': '1.0'}, {'379': '1.0'}, {'926': '1.0'}, {'727': '1.0'}, {'363': '1.0'}]	[{'518': '0.0'}, {'574': '0.0'}, {'575': '0.0'}, {'577': '0.0'}, {'579': '0.0'}, {'583': '0.0'}, {'585': '0.0'}, {'586': '0.0'}, {'588': '0.0'}, {'599': '0.0'}]	[{'518': '0'}, {'574': '0'}, {'575': '0'}, {'577': '0'}, {'579': '0'}, {'583': '0'}, {'585': '0'}, {'586': '0'}, {'588': '0'}, {'599': '0'}]	[{'518': '0.0'}, {'574': '0.0'}, {'575': '0.0'}, {'577': '0.0'}, {'579': '0.0'}, {'583': '0.0'}, {'585': '0.0'}, {'586': '0.0'}, {'588': '0.0'}, {'599': '0.0'}]	[{'518': '0.0'}, {'574': '0.0'}, {'575': '0.0'}, {'577': '0.0'}, {'579': '0.0'}, {'583': '0.0'}, {'585': '0.0'}, {'586': '0.0'}, {'588': '0.0'}, {'599': '0.0'}]	[{'518': '0.0'}, {'574': '0.0'}, {'575': '0.0'}, {'577': '0.0'}, {'579': '0.0'}, {'583': '0.0'}, {'585': '0.0'}, {'586': '0.0'}, {'588': '0.0'}, {'599': '0.0'}]
AsymUserKNN	mids-100000-2	0.1325	0.5604	0.3091	0.1755	0.1044	0.095	78.7079	0.0226	[{'234': '1.0'}, {'331': '1.0'}, {'451': '1.0'}, {'1070': '1.0'}, {'826': '1.0'}, {'1038': '1.0'}, {'842': '1.0'}, {'448': '0.9'}, {'565': '0.9'}, {'63': '0.9'}]	[{'1': '1'}, {'605': '1'}, {'606': '1'}, {'607': '1'}, {'610': '1'}, {'611': '1'}, {'613': '1'}, {'615': '1'}, {'617': '1'}, {'619': '1'}]	[{'1': '1.0'}, {'664': '1.0'}, {'176': '1.0'}, {'177': '1.0'}, {'663': '1.0'}, {'179': '1.0'}, {'181': '1.0'}, {'645': '1.0'}, {'637': '1.0'}, {'635': '1.0'}]	[{'331': '1.0'}, {'234': '1.0'}, {'842': '1.0'}, {'826': '1.0'}, {'451': '1.0'}, {'467': '1.0'}, {'476': '1.0'}, {'478': '1.0'}, {'1070': '1.0'}, {'1038': '1.0'}]	[{'331': '1.0'}, {'234': '1.0'}, {'826': '1.0'}, {'1038': '1.0'}, {'451': '1.0'}, {'467': '1.0'}, {'1070': '1.0'}, {'476': '1.0'}, {'478': '1.0'}, {'842': '1.0'}]	[{'543': '0.0'}, {'512': '0.0'}, {'513': '0.0'}, {'514': '0.0'}, {'517': '0.0'}, {'518': '0.0'}, {'519': '0.0'}, {'520': '0.0'}, {'991': '0.0'}, {'522': '0.0'}]	[{'543': '0'}, {'848': '0'}, {'431': '0'}, {'850': '0'}, {'428': '0'}, {'851': '0'}, {'426': '0'}, {'425': '0'}, {'424': '0'}, {'422': '0'}]	[{'543': '0.0'}, {'917': '0.0'}, {'457': '0.0'}, {'915': '0.0'}, {'461': '0.0'}, {'462': '0.0'}, {'464': '0.0'}, {'918': '0.0'}, {'466': '0.0'}, {'470': '0.0'}]	[{'543': '0.0'}, {'474': '0.0'}, {'482': '0.0'}, {'941': '0.0'}, {'484': '0.0'}, {'485': '0.0'}, {'486': '0.0'}, {'473': '0.0'}, {'487': '0.0'}, {'940': '0.0'}]	[{'543': '0.0'}, {'945': '0.0'}, {'482': '0.0'}, {'484': '0.0'}, {'485': '0.0'}, {'486': '0.0'}, {'487': '0.0'}, {'946': '0.0'}, {'488': '0.0'}, {'491': '0.0'}]
AsymUserKNN	mids-100000-3	0.1394	0.5816	0.3304	0.1889	0.1131	0.1277	109.931	0.018	[{'20': '1.0'}, {'112': '1.0'}, {'968': '1.0'}, {'1188': '1.0'}, {'956': '1.0'}, {'952': '1.0'}, {'948': '1.0'}, {'1219': '1.0'}, {'895': '1.0'}, {'32': '1.0'}]	[{'625': '1'}, {'699': '1'}, {'700': '1'}, {'701': '1'}, {'702': '1'}, {'703': '1'}, {'704': '1'}, {'705': '1'}, {'708': '1'}, {'709': '1'}]	[{'1250': '1.0'}, {'241': '1.0'}, {'669': '1.0'}, {'237': '1.0'}, {'678': '1.0'}, {'686': '1.0'}, {'699': '1.0'}, {'703': '1.0'}, {'705': '1.0'}, {'708': '1.0'}]	[{'749': '1.0'}, {'517': '1.0'}, {'968': '1.0'}, {'895': '1.0'}, {'634': '1.0'}, {'112': '1.0'}, {'32': '1.0'}, {'1219': '1.0'}, {'956': '1.0'}, {'1188': '1.0'}]	[{'112': '1.0'}, {'32': '1.0'}, {'20': '1.0'}, {'749': '1.0'}, {'1188': '1.0'}, {'517': '1.0'}, {'968': '1.0'}, {'895': '1.0'}, {'1219': '1.0'}, {'1162': '1.0'}]	[{'1': '0.0'}, {'908': '0.0'}, {'906': '0.0'}, {'905': '0.0'}, {'899': '0.0'}, {'415': '0.0'}, {'894': '0.0'}, {'409': '0.0'}, {'892': '0.0'}, {'420': '0.0'}]	[{'1': '0'}, {'984': '0'}, {'468': '0'}, {'981': '0'}, {'980': '0'}, {'471': '0'}, {'472': '0'}, {'979': '0'}, {'474': '0'}, {'475': '0'}]	[{'1': '0.0'}, {'1046': '0.0'}, {'1045': '0.0'}, {'1044': '0.0'}, {'493': '0.0'}, {'1043': '0.0'}, {'1041': '0.0'}, {'1039': '0.0'}, {'1047': '0.0'}, {'499': '0.0'}]	[{'1': '0.0'}, {'424': '0.0'}, {'914': '0.0'}, {'426': '0.0'}, {'427': '0.0'}, {'428': '0.0'}, {'429': '0.0'}, {'916': '0.0'}, {'430': '0.0'}, {'911': '0.0'}]	[{'1': '0.0'}, {'434': '0.0'}, {'928': '0.0'}, {'438': '0.0'}, {'439': '0.0'}, {'925': '0.0'}, {'924': '0.0'}, {'930': '0.0'}, {'445': '0.0'}, {'449': '0.0'}]
AsymUserKNN	mids-100000-4	0.1301	0.5441	0.303	0.1657	0.0976	0.1144	81.4245	0.0163	[{'859': '1.0'}, {'1083': '1.0'}, {'19': '1.0'}, {'872': '1.0'}, {'208': '1.0'}, {'635': '1.0'}, {'183': '1.0'}, {'524': '1.0'}, {'820': '0.9'}, {'170': '0.9'}]	[{'551': '1'}, {'873': '1'}, {'872': '1'}, {'871': '1'}, {'479': '1'}, {'480': '1'}, {'481': '1'}, {'482': '1'}, {'483': '1'}, {'484': '1'}]	[{'551': '1.0'}, {'506': '1.0'}, {'504': '1.0'}, {'503': '1.0'}, {'861': '1.0'}, {'177': '1.0'}, {'1005': '1.0'}, {'179': '1.0'}, {'183': '1.0'}, {'493': '1.0'}]	[{'1083': '1.0'}, {'859': '1.0'}, {'524': '1.0'}, {'635': '1.0'}, {'183': '1.0'}, {'19': '1.0'}, {'872': '1.0'}, {'208': '1.0'}, {'952': '0.9784'}, {'791': '0.9364'}]	[{'872': '1.0'}, {'19': '1.0'}, {'183': '1.0'}, {'208': '1.0'}, {'635': '1.0'}, {'859': '1.0'}, {'524': '1.0'}, {'1083': '1.0'}, {'952': '0.9306'}, {'413': '0.9'}]	[{'1': '0.0'}, {'596': '0.0'}, {'597': '0.0'}, {'604': '0.0'}, {'607': '0.0'}, {'608': '0.0'}, {'610': '0.0'}, {'611': '0.0'}, {'594': '0.0'}, {'612': '0.0'}]	[{'1': '0'}, {'596': '0'}, {'597': '0'}, {'604': '0'}, {'607': '0'}, {'608': '0'}, {'610': '0'}, {'611': '0'}, {'594': '0'}, {'612': '0'}]	[{'1': '0.0'}, {'596': '0.0'}, {'597': '0.0'}, {'604': '0.0'}, {'607': '0.0'}, {'608': '0.0'}, {'610': '0.0'}, {'611': '0.0'}, {'594': '0.0'}, {'612': '0.0'}]	[{'1': '0.0'}, {'596': '0.0'}, {'597': '0.0'}, {'604': '0.0'}, {'607': '0.0'}, {'608': '0.0'}, {'610': '0.0'}, {'611': '0.0'}, {'594': '0.0'}, {'612': '0.0'}]	[{'1': '0.0'}, {'596': '0.0'}, {'597': '0.0'}, {'604': '0.0'}, {'607': '0.0'}, {'608': '0.0'}, {'610': '0.0'}, {'611': '0.0'}, {'594': '0.0'}, {'612': '0.0'}]
AsymUserKNN	mids-100000-5	0.1349	0.5718	0.3201	0.1801	0.1103	0.1173	67.006	0.0144	[{'979': '1.0'}, {'170': '1.0'}, {'180': '1.0'}, {'357': '1.0'}, {'757': '1.0'}, {'204': '1.0'}, {'977': '1.0'}, {'547': '1.0'}, {'641': '0.9'}, {'133': '0.9'}]	[{'1044': '1'}, {'850': '1'}, {'462': '1'}, {'463': '1'}, {'464': '1'}, {'849': '1'}, {'466': '1'}, {'467': '1'}, {'851': '1'}, {'468': '1'}]	[{'1044': '1.0'}, {'885': '1.0'}, {'381': '1.0'}, {'380': '1.0'}, {'378': '1.0'}, {'377': '1.0'}, {'375': '1.0'}, {'889': '1.0'}, {'890': '1.0'}, {'892': '1.0'}]	[{'365': '1.0'}, {'979': '1.0'}, {'977': '1.0'}, {'170': '1.0'}, {'57': '1.0'}, {'180': '1.0'}, {'204': '1.0'}, {'290': '1.0'}, {'331': '1.0'}, {'357': '1.0'}]	[{'365': '1.0'}, {'979': '1.0'}, {'977': '1.0'}, {'170': '1.0'}, {'180': '1.0'}, {'57': '1.0'}, {'204': '1.0'}, {'290': '1.0'}, {'68': '1.0'}, {'339': '1.0'}]	[{'1': '0.0'}, {'567': '0.0'}, {'568': '0.0'}, {'571': '0.0'}, {'574': '0.0'}, {'576': '0.0'}, {'579': '0.0'}, {'580': '0.0'}, {'581': '0.0'}, {'583': '0.0'}]	[{'1': '0'}, {'567': '0'}, {'568': '0'}, {'571': '0'}, {'574': '0'}, {'576': '0'}, {'579': '0'}, {'580': '0'}, {'581': '0'}, {'583': '0'}]	[{'1': '0.0'}, {'567': '0.0'}, {'568': '0.0'}, {'571': '0.0'}, {'574': '0.0'}, {'576': '0.0'}, {'579': '0.0'}, {'580': '0.0'}, {'581': '0.0'}, {'583': '0.0'}]	[{'1': '0.0'}, {'567': '0.0'}, {'568': '0.0'}, {'571': '0.0'}, {'574': '0.0'}, {'576': '0.0'}, {'579': '0.0'}, {'580': '0.0'}, {'581': '0.0'}, {'583': '0.0'}]	[{'1': '0.0'}, {'567': '0.0'}, {'568': '0.0'}, {'571': '0.0'}, {'574': '0.0'}, {'576': '0.0'}, {'579': '0.0'}, {'580': '0.0'}, {'581': '0.0'}, {'583': '0.0'}]
AsymUserKNN	mids-100000-6	0.1409	0.5998	0.3197	0.186	0.1118	0.1108	95.771	0.0148	[{'115': '1.0'}, {'449': '1.0'}, {'940': '1.0'}, {'1129': '1.0'}, {'978': '1.0'}, {'205': '1.0'}, {'755': '1.0'}, {'765': '1.0'}, {'1061': '1.0'}, {'272': '1.0'}]	[{'589': '1'}, {'674': '1'}, {'676': '1'}, {'678': '1'}, {'679': '1'}, {'681': '1'}, {'683': '1'}, {'684': '1'}, {'686': '1'}, {'687': '1'}]	[{'208': '1.0'}, {'817': '1.0'}, {'811': '1.0'}, {'810': '1.0'}, {'807': '1.0'}, {'329': '1.0'}, {'801': '1.0'}, {'579': '1.0'}, {'799': '1.0'}, {'798': '1.0'}]	[{'978': '1.0'}, {'1129': '1.0'}, {'1106': '1.0'}, {'595': '1.0'}, {'205': '1.0'}, {'419': '1.0'}, {'115': '1.0'}, {'449': '1.0'}, {'1061': '1.0'}, {'765': '1.0'}]	[{'940': '1.0'}, {'205': '1.0'}, {'1061': '1.0'}, {'272': '1.0'}, {'765': '1.0'}, {'755': '1.0'}, {'595': '1.0'}, {'1106': '1.0'}, {'1129': '1.0'}, {'978': '1.0'}]	[{'1': '0.0'}, {'837': '0.0'}, {'839': '0.0'}, {'841': '0.0'}, {'389': '0.0'}, {'388': '0.0'}, {'843': '0.0'}, {'845': '0.0'}, {'384': '0.0'}, {'848': '0.0'}]	[{'1': '0'}, {'908': '0'}, {'909': '0'}, {'911': '0'}, {'443': '0'}, {'912': '0'}, {'439': '0'}, {'437': '0'}, {'916': '0'}, {'917': '0'}]	[{'1': '0.0'}, {'917': '0.0'}, {'458': '0.0'}, {'457': '0.0'}, {'456': '0.0'}, {'454': '0.0'}, {'453': '0.0'}, {'920': '0.0'}, {'927': '0.0'}, {'443': '0.0'}]	[{'1': '0.0'}, {'814': '0.0'}, {'364': '0.0'}, {'608': '0.0'}, {'362': '0.0'}, {'361': '0.0'}, {'360': '0.0'}, {'359': '0.0'}, {'358': '0.0'}, {'813': '0.0'}]	[{'1': '0.0'}, {'920': '0.0'}, {'454': '0.0'}, {'453': '0.0'}, {'927': '0.0'}, {'928': '0.0'}, {'443': '0.0'}, {'929': '0.0'}, {'439': '0.0'}, {'437': '0.0'}]
AsymUserKNN	mids-100000-7	0.1413	0.5744	0.3217	0.18	0.1085	0.087	62.7058	0.022	[{'26': '1.0'}, {'702': '1.0'}, {'181': '1.0'}, {'685': '1.0'}, {'360': '1.0'}, {'114': '1.0'}, {'602': '1.0'}, {'597': '1.0'}, {'549': '1.0'}, {'387': '1.0'}]	[{'921': '1'}, {'742': '1'}, {'408': '1'}, {'409': '1'}, {'411': '1'}, {'412': '1'}, {'740': '1'}, {'406': '1'}, {'415': '1'}, {'417': '1'}]	[{'921': '1.0'}, {'200': '1.0'}, {'830': '1.0'}, {'202': '1.0'}, {'828': '1.0'}, {'206': '1.0'}, {'209': '1.0'}, {'210': '1.0'}, {'215': '1.0'}, {'693': '1.0'}]	[{'360': '1.0'}, {'702': '1.0'}, {'387': '1.0'}, {'114': '1.0'}, {'571': '1.0'}, {'861': '1.0'}, {'152': '1.0'}, {'428': '1.0'}, {'597': '1.0'}, {'549': '1.0'}]	[{'387': '1.0'}, {'685': '1.0'}, {'152': '1.0'}, {'571': '1.0'}, {'602': '1.0'}, {'597': '1.0'}, {'861': '1.0'}, {'26': '1.0'}, {'360': '1.0'}, {'114': '1.0'}]	[{'1': '0.0'}, {'503': '0.0'}, {'501': '0.0'}, {'500': '0.0'}, {'498': '0.0'}, {'497': '0.0'}, {'495': '0.0'}, {'494': '0.0'}, {'489': '0.0'}, {'487': '0.0'}]	[{'1': '0'}, {'503': '0'}, {'501': '0'}, {'500': '0'}, {'498': '0'}, {'497': '0'}, {'495': '0'}, {'494': '0'}, {'489': '0'}, {'487': '0'}]	[{'1': '0.0'}, {'503': '0.0'}, {'501': '0.0'}, {'500': '0.0'}, {'498': '0.0'}, {'497': '0.0'}, {'495': '0.0'}, {'494': '0.0'}, {'489': '0.0'}, {'487': '0.0'}]	[{'1': '0.0'}, {'503': '0.0'}, {'501': '0.0'}, {'500': '0.0'}, {'498': '0.0'}, {'497': '0.0'}, {'495': '0.0'}, {'494': '0.0'}, {'489': '0.0'}, {'487': '0.0'}]	[{'1': '0.0'}, {'503': '0.0'}, {'501': '0.0'}, {'500': '0.0'}, {'498': '0.0'}, {'497': '0.0'}, {'495': '0.0'}, {'494': '0.0'}, {'489': '0.0'}, {'487': '0.0'}]
AsymUserKNN	mids-100000-8	0.1513	0.5808	0.3389	0.1969	0.1242	0.1003	63.3229	0.0202	[{'225': '1.0'}, {'724': '1.0'}, {'209': '1.0'}, {'690': '1.0'}, {'317': '1.0'}, {'628': '1.0'}, {'825': '1.0'}, {'148': '1.0'}, {'414': '0.9'}, {'926': '0.9'}]	[{'486': '1'}, {'570': '1'}, {'576': '1'}, {'577': '1'}, {'578': '1'}, {'579': '1'}, {'580': '1'}, {'583': '1'}, {'585': '1'}, {'568': '1'}]	[{'202': '1.0'}, {'234': '1.0'}, {'638': '1.0'}, {'232': '1.0'}, {'230': '1.0'}, {'229': '1.0'}, {'644': '1.0'}, {'629': '1.0'}, {'645': '1.0'}, {'225': '1.0'}]	[{'148': '1.0'}, {'230': '1.0'}, {'209': '1.0'}, {'771': '1.0'}, {'724': '1.0'}, {'190': '1.0'}, {'593': '1.0'}, {'260': '1.0'}, {'825': '1.0'}, {'134': '1.0'}]	[{'771': '1.0'}, {'628': '1.0'}, {'260': '1.0'}, {'190': '1.0'}, {'114': '1.0'}, {'317': '1.0'}, {'127': '1.0'}, {'825': '1.0'}, {'134': '1.0'}, {'724': '1.0'}]	[{'1': '0.0'}, {'673': '0.0'}, {'338': '0.0'}, {'337': '0.0'}, {'675': '0.0'}, {'677': '0.0'}, {'680': '0.0'}, {'682': '0.0'}, {'329': '0.0'}, {'328': '0.0'}]	[{'1': '0'}, {'384': '0'}, {'748': '0'}, {'749': '0'}, {'381': '0'}, {'379': '0'}, {'751': '0'}, {'752': '0'}, {'374': '0'}, {'370': '0'}]	[{'1': '0.0'}, {'711': '0.0'}, {'362': '0.0'}, {'361': '0.0'}, {'714': '0.0'}, {'356': '0.0'}, {'355': '0.0'}, {'353': '0.0'}, {'730': '0.0'}, {'348': '0.0'}]	[{'1': '0.0'}, {'640': '0.0'}, {'641': '0.0'}, {'312': '0.0'}, {'311': '0.0'}, {'310': '0.0'}, {'646': '0.0'}, {'307': '0.0'}, {'305': '0.0'}, {'304': '0.0'}]	[{'1': '0.0'}, {'646': '0.0'}, {'318': '0.0'}, {'647': '0.0'}, {'650': '0.0'}, {'652': '0.0'}, {'312': '0.0'}, {'311': '0.0'}, {'310': '0.0'}, {'653': '0.0'}]
AsymUserKNN	mids-100000-9	0.151	0.5742	0.3361	0.1977	0.1256	0.1012	77.3405	0.0093	[{'263': '1.0'}, {'161': '1.0'}, {'39': '1.0'}, {'472': '1.0'}, {'470': '1.0'}, {'142': '1.0'}, {'869': '1.0'}, {'577': '1.0'}, {'556': '1.0'}, {'396': '1.0'}]	[{'1': '1'}, {'617': '1'}, {'619': '1'}, {'622': '1'}, {'623': '1'}, {'626': '1'}, {'627': '1'}, {'634': '1'}, {'636': '1'}, {'642': '1'}]	[{'1099': '1.0'}, {'726': '1.0'}, {'267': '1.0'}, {'266': '1.0'}, {'263': '1.0'}, {'262': '1.0'}, {'741': '1.0'}, {'743': '1.0'}, {'274': '1.0'}, {'255': '1.0'}]	[{'577': '1.0'}, {'472': '1.0'}, {'480': '1.0'}, {'556': '1.0'}, {'573': '1.0'}, {'87': '1.0'}, {'601': '1.0'}, {'204': '1.0'}, {'470': '1.0'}, {'182': '1.0'}]	[{'577': '1.0'}, {'472': '1.0'}, {'480': '1.0'}, {'556': '1.0'}, {'39': '1.0'}, {'573': '1.0'}, {'601': '1.0'}, {'204': '1.0'}, {'470': '1.0'}, {'182': '1.0'}]	[{'1020': '0.0'}, {'373': '0.0'}, {'936': '0.0'}, {'935': '0.0'}, {'1000': '0.0'}, {'686': '0.0'}, {'367': '0.0'}, {'366': '0.0'}, {'365': '0.0'}, {'1001': '0.0'}]	[{'350': '0'}, {'440': '0'}, {'845': '0'}, {'438': '0'}, {'436': '0'}, {'847': '0'}, {'433': '0'}, {'429': '0'}, {'428': '0'}, {'852': '0'}]	[{'323': '0.0'}, {'802': '0.0'}, {'807': '0.0'}, {'404': '0.0'}, {'403': '0.0'}, {'401': '0.0'}, {'809': '0.0'}, {'399': '0.0'}, {'397': '0.0'}, {'810': '0.0'}]	[{'780': '0.0'}, {'937': '0.0'}, {'336': '0.0'}, {'611': '0.0'}, {'334': '0.0'}, {'333': '0.0'}, {'612': '0.0'}, {'331': '0.0'}, {'613': '0.0'}, {'329': '0.0'}]	[{'780': '0.0'}, {'937': '0.0'}, {'336': '0.0'}, {'613': '0.0'}, {'334': '0.0'}, {'333': '0.0'}, {'614': '0.0'}, {'331': '0.0'}, {'615': '0.0'}, {'329': '0.0'}]
AsymUserKNN	mids-100000-10	0.1449	0.5964	0.3374	0.1953	0.119	0.1043	108.3737	0.0104	[{'289': '1.0'}, {'574': '1.0'}, {'802': '1.0'}, {'26': '1.0'}, {'490': '1.0'}, {'920': '1.0'}, {'190': '1.0'}, {'1163': '1.0'}, {'645': '1.0'}, {'780': '1.0'}]	[{'1': '1'}, {'707': '1'}, {'708': '1'}, {'713': '1'}, {'714': '1'}, {'717': '1'}, {'720': '1'}, {'722': '1'}, {'723': '1'}, {'724': '1'}]	[{'615': '1.0'}, {'511': '1.0'}, {'512': '1.0'}, {'986': '1.0'}, {'514': '1.0'}, {'516': '1.0'}, {'771': '1.0'}, {'253': '1.0'}, {'520': '1.0'}, {'765': '1.0'}]	[{'490': '1.0'}, {'190': '1.0'}, {'798': '1.0'}, {'73': '1.0'}, {'1163': '1.0'}, {'676': '1.0'}, {'566': '1.0'}, {'802': '1.0'}, {'289': '1.0'}, {'780': '1.0'}]	[{'190': '1.0'}, {'574': '1.0'}, {'676': '1.0'}, {'566': '1.0'}, {'645': '1.0'}, {'920': '1.0'}, {'978': '1.0'}, {'289': '1.0'}, {'1163': '1.0'}, {'26': '1.0'}]	[{'1229': '0.0'}, {'823': '0.0'}, {'417': '0.0'}, {'412': '0.0'}, {'831': '0.0'}, {'832': '0.0'}, {'407': '0.0'}, {'835': '0.0'}, {'405': '0.0'}, {'404': '0.0'}]	[{'1229': '0'}, {'992': '0'}, {'994': '0'}, {'995': '0'}, {'835': '0'}, {'635': '0'}, {'636': '0'}, {'366': '0'}, {'364': '0'}, {'1000': '0'}]	[{'1229': '0.0'}, {'778': '0.0'}, {'779': '0.0'}, {'781': '0.0'}, {'787': '0.0'}, {'388': '0.0'}, {'789': '0.0'}, {'791': '0.0'}, {'792': '0.0'}, {'795': '0.0'}]	[{'1229': '0.0'}, {'807': '0.0'}, {'405': '0.0'}, {'404': '0.0'}, {'403': '0.0'}, {'402': '0.0'}, {'401': '0.0'}, {'399': '0.0'}, {'398': '0.0'}, {'811': '0.0'}]	[{'1229': '0.0'}, {'401': '0.0'}, {'796': '0.0'}, {'399': '0.0'}, {'398': '0.0'}, {'799': '0.0'}, {'800': '0.0'}, {'395': '0.0'}, {'805': '0.0'}, {'393': '0.0'}]
AsymUserKNN	mids-100000-11	0.1593	0.5981	0.3554	0.2089	0.1339	0.0968	66.4872	0.0189	[{'620': '1.0'}, {'642': '1.0'}, {'681': '1.0'}, {'449': '1.0'}, {'688': '1.0'}, {'442': '1.0'}, {'422': '1.0'}, {'696': '1.0'}, {'902': '1.0'}, {'367': '1.0'}]	[{'1': '1'}, {'587': '1'}, {'588': '1'}, {'589': '1'}, {'590': '1'}, {'591': '1'}, {'593': '1'}, {'594': '1'}, {'595': '1'}, {'596': '1'}]	[{'1': '1.0'}, {'487': '1.0'}, {'481': '1.0'}, {'480': '1.0'}, {'474': '1.0'}, {'470': '1.0'}, {'464': '1.0'}, {'461': '1.0'}, {'459': '1.0'}, {'454': '1.0'}]	[{'856': '1.0'}, {'807': '1.0'}, {'343': '1.0'}, {'422': '1.0'}, {'442': '1.0'}, {'868': '1.0'}, {'870': '1.0'}, {'449': '1.0'}, {'888': '1.0'}, {'681': '1.0'}]	[{'449': '1.0'}, {'248': '1.0'}, {'870': '1.0'}, {'868': '1.0'}, {'902': '1.0'}, {'856': '1.0'}, {'696': '1.0'}, {'834': '1.0'}, {'807': '1.0'}, {'888': '1.0'}]	[{'827': '0.0'}, {'305': '0.0'}, {'538': '0.0'}, {'303': '0.0'}, {'302': '0.0'}, {'301': '0.0'}, {'300': '0.0'}, {'843': '0.0'}, {'297': '0.0'}, {'540': '0.0'}]	[{'843': '0'}, {'297': '0'}, {'295': '0'}, {'294': '0'}, {'292': '0'}, {'513': '0'}, {'288': '0'}, {'287': '0'}, {'286': '0'}, {'285': '0'}]	[{'683': '0.0'}, {'300': '0.0'}, {'297': '0.0'}, {'800': '0.0'}, {'295': '0.0'}, {'294': '0.0'}, {'585': '0.0'}, {'292': '0.0'}, {'513': '0.0'}, {'821': '0.0'}]	[{'381': '0.0'}, {'334': '0.0'}, {'333': '0.0'}, {'332': '0.0'}, {'874': '0.0'}, {'619': '0.0'}, {'800': '0.0'}, {'323': '0.0'}, {'322': '0.0'}, {'320': '0.0'}]	[{'388': '0.0'}, {'882': '0.0'}, {'627': '0.0'}, {'339': '0.0'}, {'630': '0.0'}, {'336': '0.0'}, {'334': '0.0'}, {'333': '0.0'}, {'332': '0.0'}, {'636': '0.0'}]
AsymUserKNN	mids-100000-12	0.1414	0.5675	0.3082	0.1816	0.1135	0.1077	68.2133	0.0274	[{'255': '1.0'}, {'517': '1.0'}, {'70': '1.0'}, {'670': '1.0'}, {'1001': '1.0'}, {'620': '1.0'}, {'1009': '1.0'}, {'849': '1.0'}, {'502': '1.0'}, {'1029': '1.0'}]	[{'1': '1'}, {'576': '1'}, {'578': '1'}, {'579': '1'}, {'580': '1'}, {'583': '1'}, {'585': '1'}, {'587': '1'}, {'594': '1'}, {'598': '1'}]	[{'1045': '1.0'}, {'205': '1.0'}, {'206': '1.0'}, {'209': '1.0'}, {'670': '1.0'}, {'667': '1.0'}, {'657': '1.0'}, {'656': '1.0'}, {'652': '1.0'}, {'648': '1.0'}]	[{'989': '1.0'}, {'620': '1.0'}, {'149': '1.0'}, {'824': '1.0'}, {'517': '1.0'}, {'502': '1.0'}, {'255': '1.0'}, {'1001': '1.0'}, {'849': '1.0'}, {'667': '1.0'}]	[{'502': '1.0'}, {'824': '1.0'}, {'149': '1.0'}, {'670': '1.0'}, {'667': '1.0'}, {'620': '1.0'}, {'989': '1.0'}, {'517': '1.0'}, {'255': '1.0'}, {'1001': '1.0'}]	[{'375': '0.0'}, {'908': '0.0'}, {'345': '0.0'}, {'344': '0.0'}, {'343': '0.0'}, {'341': '0.0'}, {'340': '0.0'}, {'339': '0.0'}, {'600': '0.0'}, {'601': '0.0'}]	[{'846': '0'}, {'423': '0'}, {'798': '0'}, {'799': '0'}, {'420': '0'}, {'418': '0'}, {'416': '0'}, {'415': '0'}, {'414': '0'}, {'413': '0'}]	[{'343': '0.0'}, {'809': '0.0'}, {'426': '0.0'}, {'810': '0.0'}, {'423': '0.0'}, {'812': '0.0'}, {'420': '0.0'}, {'813': '0.0'}, {'418': '0.0'}, {'416': '0.0'}]	[{'345': '0.0'}, {'435': '0.0'}, {'813': '0.0'}, {'430': '0.0'}, {'815': '0.0'}, {'817': '0.0'}, {'426': '0.0'}, {'820': '0.0'}, {'423': '0.0'}, {'420': '0.0'}]	[{'344': '0.0'}, {'430': '0.0'}, {'812': '0.0'}, {'813': '0.0'}, {'426': '0.0'}, {'815': '0.0'}, {'817': '0.0'}, {'423': '0.0'}, {'420': '0.0'}, {'418': '0.0'}]
